rating,star,title,quote,writer,director,link,year,genre
8.7,"蕾拉·哈塔米,佩曼·莫阿迪,沙哈布·侯赛尼",一次别离 جدایی نادر از سیمین,只有有信仰的人才能说出事实真相。,阿斯哈·法哈蒂,阿斯哈·法哈蒂,http://www.imdb.com/title/tt1832382,2011,"剧情,家庭"
8.7,"汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯",绿里奇迹 The Green Mile,天使暂时离开。,"弗兰克·德拉邦特,斯蒂芬·金",弗兰克·德拉邦特,http://www.imdb.com/title/tt0120689,1999,"剧情,悬疑,犯罪,奇幻"
8.7,"三上博史,恰拉,伊藤步",燕尾蝶 スワロウテイル,现实与童话交相辉映的旅程。,岩井俊二,岩井俊二,http://www.imdb.com/title/tt0117797,1996,"剧情,犯罪"
8.6,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特",哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,10年的完美句点。,斯蒂芬·科洛弗,大卫·叶茨,"http://www.imdb.com/title/tt1201607,https://site.douban.com/108361/",2011,"剧情,悬疑,奇幻,冒险"
9.0,"山本圭,井川比佐志,片桐入",忠犬八公物语 ハチ公物語,养狗三日，便会对你终其一生。,新藤兼人,神山征二郎,http://www.imdb.com/title/tt0093132,1987,剧情
8.6,"达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱莉·高利诺",雨人 Rain Man,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,"罗纳德·巴斯,巴里·莫罗",巴瑞·莱文森,http://www.imdb.com/title/tt0095953,1988,剧情
8.5,"凯拉·奈特莉,马克·鲁弗洛,詹姆斯·柯登",再次出发之纽约遇见你 Begin Again,爱我就给我看你的播放列表。,约翰·卡尼,约翰·卡尼,"http://beginagainfilm.com,http://www.imdb.com/title/tt1980929",2013,"喜剧,爱情,音乐"
8.6,"米歇尔·塞罗,柯莱儿·布翁尼许,Nade Dieu",蝴蝶 Le Papillon,我们长途跋涉寻找的东西，有可能一直就在身边。 ,费利普·弥勒,费利普·弥勒,http://www.imdb.com/title/tt0329485,2002,"剧情,喜剧,儿童"
8.3,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,苏达拉·布查蓬",初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,黑小鸭速效美白记。,普特鹏·普罗萨卡·那·萨克那卡林,"普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭",http://www.imdb.com/title/tt1859438,2010,"喜剧,爱情"
8.3,"维特维斯特·海伦亚沃恩酷,马里奥·毛瑞尔,赖拉·邦雅淑",爱在暹罗 รักแห่งสยาม,把爱放在心底，有爱就有希望。,楚克‧萨克瑞科,楚克‧萨克瑞科,"http://www.theloveofsiam.com,http://www.imdb.com/title/tt1152282",2007,"剧情,爱情,同性,家庭"
8.3,"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼",恐怖游轮 Triangle,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯,克里斯托弗·史密斯,http://www.imdb.com/title/tt1187064,2009,"剧情,悬疑,惊悚"
8.3,"桂纶镁,陈柏霖,梁又琳",蓝色大门 藍色大門,青春的窃窃私语。 ,易智言,易智言,"http://bluegatecrossing.kingnet.com.tw,http://www.imdb.com/title/tt0333764",2002,"剧情,爱情,同性"
8.5,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆",终结者2 Terminator 2: Judgment Day,少见的超越首部的续集，动作片中的经典。,"詹姆斯·卡梅隆,William Wisher Jr.",詹姆斯·卡梅隆,http://www.imdb.com/title/tt0103064,1991,"动作,科幻"
